Section,Offense,Punishment
IPC_212,"Harbouring an offender, If the offence be capital",5 Years + Fine
IPC_213,"Taking gift, etc., to screen an offender from punishment, If the offence be capital",7 Years + Fine
IPC_214,"Offering gift or restoration of property in consideration of screening offender, If the offence be capital",7 Years + Fine
IPC_215,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,2 Years or Fine or Both
IPC_216,"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, If the offence be capital",7 Years + Fine
IPC_216A,Harbouring robbers or dacoits,Rigorous Imprisonment for 7 Years and Fine
IPC_216B,nan,nan
IPC_217,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",2 Years or Fine or Both
IPC_218,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture",3 Years or Fine or Both
IPC_219,"Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law",7 Years or Fine or Both
IPC_220,"Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law",7 Years or Fine or Both
IPC_221,"Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital",7 Years with or without Fine
IPC_222,"Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death",Imprisonment for Life or 14 Years with or without Fine
IPC_223,Escape from confinement negligently suffered by a public servant,Simple Imprisonment for 2 Years or Fine or Both
IPC_227,Violation of condition of remission of punishment,"Original Sentence, minus time already served"
IPC_228,Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,Simple Imprisonment for 6 Months or Fine or Both
IPC_228A,"Disclosure of identity of the victim of certain offences, etc.",2 Years + Fine
IPC_229,Personation of a juror or assessor,2 Years or Fine or Both
IPC_229A,Failure by person released on bail or bond to appear in Court,1 Year or Fine or Both
IPC_230,nan,nan
IPC_231,"Counterfeiting, or performing any part of the process of counterfeiting coin",7 Years + Fine
IPC_232,"Counterfeiting, or performing any part of the process of counterfeiting coin",Imprisonment for Life or 10 Years + Fine
IPC_233,"Making, buying or selling instrument for the purpose of counterfeiting coin",3 Years + Fine
IPC_234,"Making, buying or selling instrument for the purpose of counterfeiting Indian coin",7 Years + Fine
IPC_235,Possession of instrument or material for the purpose of using the same for counterfeiting coin,3 Years + Fine
IPC_236,"Abetting, in India, the counterfeiting, out of India, of coin",The punishment provided for abetting the counterfeiting of such coin within India
IPC_237,"Import or export of counterfeit coin, knowing the same to be counterfeit",3 Years + Fine
IPC_238,"Import or export of counterfeit of Indian coin, knowing the same to be counterfeit",Imprisonment for Life or 10 Years + Fine
IPC_239,"Having any counterfeit coin known to be such when it came into possession, and delivering, etc., the same to any person",5 Years + Fine
IPC_240,Same with respect to Indian coin,10 Years + Fine
IPC_241,"Knowingly delivering to another any counterfeit coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",2 Years or Fine or 10 x Value of Coin or Both
IPC_242,Possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof,3 Years + Fine
IPC_243,Possession of Indian coin by a person who knew it to be counterfeit when he became possessed thereof,7 Years + Fine
IPC_244,Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law,7 Years + Fine
IPC_245,Unlawfully taking from a Mint any coining instrument,7 Years + Fine
IPC_246,Fraudulently diminishing the weight or altering the composition of any coin,3 Years + Fine
IPC_247,Fraudulently diminishing the weight or altering the composition of Indian coin,7 Years + Fine
IPC_248,Altering appearance of any coin with intent that it shall pass as a coin of a different description,3 Years + Fine
